source,record_id,question_id,provider_id,title,classification,reason,known_query_risk,source_limitation,source_url,decision_authority,human_screening_claim,systematic_review_inclusion_claim,status
clinicaltrials,REC-CTGOV-NCT02567682,A1,NCT02567682,"Drug Interaction Study of GBT440 With Caffeine, S-warfarin, Omeprazole, and Midazolam in Healthy Subjects",ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT02567682,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
clinicaltrials,REC-CTGOV-NCT02591732,A1,NCT02591732,A Nationwide Registry Study of Patients With Nonvalvular Atrial Fibrillation Initiating Oral Anticoagulation Therapies In The Early Period Following Apixaban Marketing In Denmark,ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT02591732,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
clinicaltrials,REC-CTGOV-NCT02610153,A1,NCT02610153,"Subtherapeutic INR Levels in Patients With AVK: Incidence, Associated Factors, Prognosis and Control Strategies",ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT02610153,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
clinicaltrials,REC-CTGOV-NCT02610933,A1,NCT02610933,Effect on Vascular Calcification of Replacing Warfarin by Rivaroxaban With or Without VitK2 in Hemodialysis Patients,ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT02610933,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
clinicaltrials,REC-CTGOV-NCT02618577,A1,NCT02618577,Non-vitamin K Antagonist Oral Anticoagulants in Patients With Atrial High Rate Episodes,ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT02618577,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
clinicaltrials,REC-CTGOV-NCT02640222,A1,NCT02640222,APIXABAN in the Prevention of Stroke and Systemic Embolism in Patients With Atrial Fibrillation in Real-Life Setting in France SNIIRAM Study,ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT02640222,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
clinicaltrials,REC-CTGOV-NCT02723981,A1,NCT02723981,COMBO-Stent in Patients on Chronic Anticoagulant Therapy (COSTA) COSTA-Bleed and COSTA-Outcome Trials,ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT02723981,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
clinicaltrials,REC-CTGOV-NCT02735902,A1,NCT02735902,Anticoagulation Alone Versus Anticoagulation and Aspirin Following Transcatheter Aortic Valve Interventions (1:1),ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT02735902,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
clinicaltrials,REC-CTGOV-NCT02740335,A1,NCT02740335,"Study of Octaplex, a Four-factor Prothrombin Complex Concentrate (4F-PCC) and Beriplex® P/N (Kcentra) for the Reversal of Vitamin K Antagonist (VKA) Induced Anticoagulation in Patients Needing Urgent Surgery With Significant Bleeding Risk.",ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT02740335,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
clinicaltrials,REC-CTGOV-NCT02740712,A1,NCT02740712,Pharmacokinetic Drug-Drug Interaction Study of Rucaparib,ai_unranked_source_candidate,retrieved_by_preserved_source_query; no dual-profile classifier available,vitamin K antagonist lexical false positive,,https://clinicaltrials.gov/study/NCT02740712,ai_exploratory_only,false,false,protocol_v2_ai_exploratory_unranked
