report_id,record_id,study_id,report_type,linkage_evidence,status
RPT-PUBMED-889894,REC-PUBMED-889894,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-899936,REC-PUBMED-899936,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-900144,REC-PUBMED-900144,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-901699,REC-PUBMED-901699,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-901759,REC-PUBMED-901759,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-903216,REC-PUBMED-903216,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-907255,REC-PUBMED-907255,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-907786,REC-PUBMED-907786,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-911605,REC-PUBMED-911605,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-920247,REC-PUBMED-920247,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-923374,REC-PUBMED-923374,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-925484,REC-PUBMED-925484,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-932189,REC-PUBMED-932189,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-936674,REC-PUBMED-936674,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-937074,REC-PUBMED-937074,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-937880,REC-PUBMED-937880,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-942237,REC-PUBMED-942237,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-950692,REC-PUBMED-950692,,bibliographic_record,PMID exact,needs_human_study_linkage
RPT-PUBMED-960762,REC-PUBMED-960762,,bibliographic_record,PMID exact,needs_human_study_linkage
